Date,Close,Volume,MA
2006-05-19,2.303929,985866000,2.341785667
2006-05-22,2.263571,718975600,2.316071333
2006-05-23,2.255357,694414000,2.288452333
2006-05-24,2.262143,916031200,2.2786905
2006-05-25,2.2975,463372000,2.273154833
2006-05-26,2.269643,432950000,2.275357167
2006-05-30,2.186429,563402000,2.255773833
2006-05-31,2.134643,1280977600,2.234285833
2006-06-01,2.220357,942508000,2.2284525
2006-06-02,2.202143,685787200,2.2184525
2006-06-05,2.142857,605785600,2.192678667
2006-06-06,2.132857,726037200,2.169881
2006-06-07,2.091429,750506400,2.154047667
2006-06-08,2.17,1397482800,2.1599405
2006-06-09,2.115714,775838000,2.1425
2006-06-12,2.035714,717785600,2.114761833
2006-06-13,2.083214,1080643200,2.104821333
2006-06-14,2.0575,878136000,2.092261833
2006-06-15,2.120714,1190383600,2.097142667
2006-06-16,2.055714,838101600,2.078095
2006-06-19,2.042857,704575200,2.065952167
2006-06-20,2.0525,672974400,2.068749833
2006-06-21,2.066429,863296000,2.065952333
2006-06-22,2.127857,965633200,2.0776785
2006-06-23,2.101071,660203600,2.074404667
2006-06-26,2.106786,466536000,2.082916667
2006-06-27,2.051071,550611600,2.084285667
2006-06-28,2.000714,850704400,2.075654667
2006-06-29,2.106071,873398400,2.082261667
2006-06-30,2.045357,739695600,2.068511667
2006-07-03,2.069643,194770800,2.063273667
2006-07-05,2.035714,518240800,2.051428333
2006-07-06,1.991786,633208800,2.0415475
2006-07-07,1.978571,799360800,2.037857
2006-07-10,1.964286,529345600,2.014226167
2006-07-11,1.9875,825022800,2.004583333
2006-07-12,1.891429,927329200,1.974881
2006-07-13,1.866071,1249906000,1.946607167
2006-07-14,1.809643,993036800,1.91625
2006-07-17,1.870357,1024542400,1.898214333
2006-07-18,1.889286,1000448400,1.885714333
2006-07-19,1.932143,1390743200,1.876488167
2006-07-20,2.160714,1972146400,1.921369
2006-07-21,2.168571,891892400,1.971785667
2006-07-24,2.193571,722856400,2.035773667
2006-07-25,2.211786,589069600,2.0926785
2006-07-26,2.281071,898427600,2.157976
2006-07-27,2.264286,735044800,2.213333167
2006-07-28,2.3425,691507600,2.243630833
2006-07-31,2.427143,892841600,2.286726167
2006-08-01,2.399286,711765600,2.321012
2006-08-02,2.434286,550768400,2.358095333
2006-08-03,2.485357,841044400,2.392143
2006-08-04,2.439286,1852866400,2.421309667
2006-08-07,2.400357,1245512800,2.4309525
2006-08-08,2.313571,997864000,2.412023833
2006-08-09,2.271071,955838800,2.390654667
2006-08-10,2.288214,697760000,2.366309333
2006-08-11,2.273214,777529200,2.330952167
2006-08-14,2.283571,717620400,2.304999667
2006-08-15,2.373214,861352800,2.300475833
2006-08-16,2.427857,781284000,2.3195235
2006-08-17,2.413929,581148400,2.343333167
2006-08-18,2.425357,536354000,2.366190333
2006-08-21,2.377143,526226400,2.383511833
2006-08-22,2.415,576968000,2.405416667
2006-08-23,2.403929,536258800,2.410535833
2006-08-24,2.421786,655191600,2.409524
2006-08-25,2.455357,543958800,2.416428667
2006-08-28,2.392143,738161200,2.410893
2006-08-29,2.374286,947332400,2.410416833
2006-08-30,2.391429,680142400,2.406488333
2006-08-31,2.423214,574697200,2.4097025
2006-09-01,2.442143,408494800,2.413095333
2006-09-05,2.552857,1012457600,2.429345333
2006-09-06,2.501071,974103200,2.4475
2006-09-07,2.6,1267957600,2.485119
2006-09-08,2.59,895921600,2.518214167
2006-09-11,2.589286,949124400,2.545892833
2006-09-12,2.593929,1684687200,2.5711905
2006-09-13,2.65,1146138000,2.587381
2006-09-14,2.648929,801729600,2.612024
2006-09-15,2.646429,981853600,2.619762167
2006-09-18,2.638929,705278000,2.627917
2006-09-19,2.634643,710049200,2.6354765
2006-09-20,2.687857,822791200,2.651131167
2006-09-21,2.666071,794124800,2.653809667
2006-09-22,2.607143,665112000,2.646845333
2006-09-25,2.705357,858992400,2.656666667
2006-09-26,2.771786,1102948000,2.6788095
2006-09-27,2.728929,810373200,2.694523833
2006-09-28,2.750357,723609600,2.7049405
2006-09-29,2.749286,405812400,2.718809667
2006-10-02,2.673571,712639200,2.729881
2006-10-03,2.645714,790708800,2.7199405
2006-10-04,2.692143,829082800,2.706666667
2006-10-05,2.6725,683883200,2.697261833
2006-10-06,2.650714,466958800,2.680654667
2006-10-09,2.665357,438222400,2.6666665
2006-10-10,2.636071,531588400,2.6604165
2006-10-11,2.615357,571855200,2.655357
2006-10-12,2.687857,592855200,2.654642667
2006-10-13,2.679286,684196800,2.655773667
2006-10-16,2.692857,508692800,2.6627975
2006-10-17,2.653214,480925200,2.660773667
2006-10-18,2.661786,1133907600,2.6650595
2006-10-19,2.821071,1512977200,2.699345167
2006-10-20,2.855357,639413600,2.727261833
2006-10-23,2.909286,832507200,2.765595167
2006-10-24,2.894643,463212400,2.799226167
2006-10-25,2.917143,485214800,2.843214333
2006-10-26,2.935357,432756800,2.8888095
2006-10-27,2.871786,594966400,2.897262
2006-10-30,2.872143,499917600,2.900059667
2006-10-31,2.895714,501474400,2.897797667
2006-11-01,2.827143,611192400,2.886547667
2006-11-02,2.820714,465483200,2.870476167
2006-11-03,2.796071,431888800,2.847261833
2006-11-06,2.846786,434576800,2.843095167
2006-11-07,2.875357,525932400,2.843630833
2006-11-08,2.944643,690916800,2.851785667
2006-11-09,2.976429,923053600,2.876666667
2006-11-10,2.968571,373864400,2.9013095
2006-11-13,3.0125,450674000,2.937381
2006-11-14,3.035714,588954800,2.968869
2006-11-15,3.001786,655323200,2.9899405
2006-11-16,3.0575,693940800,3.00875
2006-11-17,3.066071,466424000,3.023690333
2006-11-20,3.088214,570794000,3.043630833
2006-11-21,3.164286,622666800,3.0689285
2006-11-22,3.225357,671941200,3.100535667
2006-11-24,3.2725,518677600,3.145654667
2006-11-27,3.197857,1074836000,3.1690475
2006-11-28,3.278929,1036173600,3.204523833
2006-11-29,3.278571,1157083200,3.23625
2006-11-30,3.273571,870486400,3.254464167
2006-12-01,3.261429,795079600,3.260476167
2006-12-04,3.254286,709536800,3.2574405
2006-12-05,3.259643,662838400,3.267738167
2006-12-06,3.208214,638184400,3.255952333
2006-12-07,3.108571,1004827600,3.227619
2006-12-08,3.152143,784277200,3.207381
2006-12-11,3.169643,499780400,3.192083333
2006-12-12,3.076429,1026620000,3.1624405
2006-12-13,3.180357,857052000,3.149226167
2006-12-14,3.1625,832330800,3.141607167
2006-12-15,3.132857,739939200,3.145654833
2006-12-18,3.0525,721576800,3.129047667
2006-12-19,3.0825,911405600,3.114523833
2006-12-20,3.027143,567691600,3.1063095
2006-12-21,2.960714,903599200,3.069702333
2006-12-22,2.935714,613303600,3.031904667
2006-12-26,2.911071,490688800,2.994940333
2006-12-27,2.911429,1935754800,2.9714285
2006-12-28,2.888214,1119876800,2.9390475
2006-12-29,3.03,1076429200,2.939523667
2007-01-03,2.992857,1238319600,2.944880833
2007-01-04,3.059286,847260400,2.965476167
2007-01-05,3.0375,834741600,2.986547667
2007-01-08,3.0525,797106800,3.0100595
2007-01-09,3.306071,3349298400,3.079702333
2007-01-10,3.464286,2952880000,3.152083333
2007-01-11,3.421429,1440252800,3.223512
2007-01-12,3.379286,1312690400,3.276845333
2007-01-16,3.467857,1244076400,3.3485715
2007-01-17,3.391071,1646260000,3.405
2007-01-18,3.181071,2364605600,3.384166667
2007-01-19,3.160714,1364473600,3.333571333
